"Player","Team","Pos","Pos2","Opp","Tipoff","Salary","Projection","SE","DvP","DvP2","FantasyPros","FantasyFuel","numberFire","RotoGrinders","Rotowire","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation"
"Tyler Ulis","PHO","PG","","@MIA","Tue 7:30PM",7300,27.52,7.41,48.7,NA,23.6,NA,15.4,33.95,35.7,26.975,29.52,"T. Ulis",10.19,23.77,44.13,214,725,12.5,""
"T.J. Warren","PHO","SF","PF","@MIA","Tue 7:30PM",7200,27.52,3.47,41.8,44.2,24.2,NA,23.8,29.39,33.1,26.675,27.93,"T. Warren",10.29,19.1,39.68,214,725,12.5,""
"Pau Gasol","SAS","C","","@MIN","Tue 9:30PM",5500,27.2,4.16,49.7,NA,30.9,NA,32,28.06,23.9,27.3,21.01,"P. Gasol",8.42,19.64,36.48,205.5,-210,-5,"3in4"
"Marcus Morris","DET","SF","PF","@BKN","Tue 7:30PM",5400,27.2,1.46,50.1,51.4,27.3,NA,25.4,26.59,29.3,26.175,28.45,"M. Morris",9.31,17.28,35.9,214,-225,-5.5,""
"Greg Monroe","MIL","C","","@POR","Tue 10:00PM",5500,26.9,1.58,50.2,NA,27,26.5,27.4,28.99,24.1,28.2,26.11,"G. Monroe",8.7,20.29,37.69,212,170,5,""
"Zach Randolph","MEM","PF","C","@NOR","Tue 8:00PM",5100,26.89,2.21,47.7,51.5,28.2,NA,28.4,22.8,26.8,28.75,26.38,"Z. Randolph",7.3,15.5,30.1,208.5,115,2,""
"Jonas Valanciunas","TOR","C","","CHI","Tue 7:00PM",5000,26.18,2.2,48.5,NA,29.9,24.5,26.2,23.99,25.3,28.475,24.91,"J. Valanciunas",6.96,17.03,30.95,200,-275,-6.5,""
"Kentavious Caldwell-Pope","DET","SG","","@BKN","Tue 7:30PM",5600,25.79,1.4,46.8,NA,27.4,25.3,26.3,24.36,27.3,26.15,23.72,"K. Caldwell-Pope",11.69,12.67,36.05,214,-225,-5.5,""
"Gorgui Dieng","MIN","PF","C","SAS","Tue 9:30PM",5000,25.68,0.8,43.8,43.9,24.7,NA,25.8,26.9,25.7,26.075,24.93,"G. Dieng",8.88,18.02,35.78,205.5,180,5,""
"Wesley Matthews","DAL","SG","SF","GSW","Tue 8:30PM",5000,24.75,2.36,42.8,42.7,27.9,NA,25.4,21.49,25.1,26.1,22.54,"W. Matthews",7.95,13.54,29.44,207,175,5,""
"Wayne Selden",NA,NA,NA,NA,NA,NA,24.62,0,NA,NA,NA,NA,NA,NA,NA,24.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rajon Rondo","CHI","PG","","@TOR","Tue 7:00PM",5700,24.6,4.44,50.1,NA,18.7,25.8,18.3,29.36,26.9,24.725,28.4,"R. Rondo",8.81,20.55,38.17,200,230,6.5,""
"Malcolm Brogdon","MIL","PG","SG","@POR","Tue 10:00PM",5000,24.27,2.13,51.4,42.4,22,NA,22.3,25.49,27.7,23.625,24.52,"M. Brogdon",9.94,15.55,35.43,212,170,5,""
"Seth Curry","DAL","SG","","GSW","Tue 8:30PM",5200,23.96,1.36,42.8,NA,25.4,NA,23.8,22.07,24.8,25.05,22.65,"S. Curry",6.84,15.23,28.91,207,175,5,""
"Ish Smith",NA,NA,NA,NA,NA,NA,23.8,0,NA,NA,NA,NA,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robin Lopez","CHI","C","","@TOR","Tue 7:00PM",4100,23.78,1.3,48.3,NA,24,NA,22.8,25.26,23.6,21.925,25.12,"R. Lopez",8.34,16.92,33.6,200,230,6.5,""
"Rondae Hollis-Jefferson","BKN","PF","","DET","Tue 7:30PM",4400,22.75,2.39,45.5,NA,19.7,NA,21,24.49,21.8,23.3,26.21,"R. Hollis-Jefferson",8.08,16.41,32.57,214,195,5.5,""
"Cory Joseph","TOR","PG","","CHI","Tue 7:00PM",5000,22.6,4.16,53.3,NA,17.2,NA,18.5,26.04,23.1,27.95,22.82,"C. Joseph",7.55,18.49,33.59,200,-275,-6.5,""
"J.J. Barea",NA,NA,NA,NA,NA,NA,22.6,0,NA,NA,NA,NA,NA,NA,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ivica Zubac","LAL","C","","LAC","Tue 10:30PM",5300,22.53,4.9,51.6,NA,26.8,25.5,17.1,29.34,19.6,16.825,22.55,"I. Zubac",8.8,20.54,38.14,219.5,365,9,""
"J.J. Redick","LAC","SG","","@LAL","Tue 10:30PM",4500,22.52,1.33,44.6,NA,23.9,NA,23.6,22.91,22.7,21.75,20.29,"J. Redick",9.39,13.52,32.3,219.5,-435,-9,"3in4-B2B"
"Al-Farouq Aminu","POR","PF","","MIL","Tue 10:00PM",4400,22.5,1.08,46.5,NA,23.6,NA,21.5,24.1,21.7,22.05,22.02,"A. Aminu",7.95,16.15,32.05,212,-195,-5,"3in4"
"Brandon Ingram","LAL","SF","","LAC","Tue 10:30PM",5000,22.25,3.16,45.1,NA,18.4,24.5,18.8,21.95,26.9,20.875,24.36,"B. Ingram",8.34,13.61,30.29,219.5,365,9,""
"Nerlens Noel","DAL","C","","GSW","Tue 8:30PM",4900,22.24,2.82,50.6,NA,21,NA,22.4,20.84,23.4,27.025,18.77,"N. Noel",8.54,12.3,29.38,207,175,5,""
"Ishmael Smith","DET","PG","","@BKN","Tue 7:30PM",4200,22.2,0.8,56.2,NA,22.5,NA,22,22.18,NA,23.25,21.05,"I. Smith",8.21,13.97,30.39,214,-225,-5.5,""
"Josh Richardson","MIA","SG","SF","PHO","Tue 7:30PM",4800,21.85,2.02,44.5,43,19.8,NA,20.7,20.68,24.3,21.125,24.49,"J. Richardson",6.62,14.06,27.3,214,-1000,-12.5,""
"Tony Allen","MEM","SG","SF","@NOR","Tue 8:00PM",4100,21.75,1.03,45.4,43.1,21.7,NA,22.3,21.25,23.5,20.6,21.13,"T. Allen",6.8,14.45,28.05,208.5,115,2,""
"JaMychal Green","MEM","PF","","@NOR","Tue 8:00PM",4200,21.71,2.24,47.7,NA,25.3,NA,23.6,20.67,21,20,19.69,"J. Green",8.68,11.99,29.35,208.5,115,2,""
"Jon Leuer","DET","PF","C","@BKN","Tue 7:30PM",4200,21.5,2.3,51.4,52.7,22.1,NA,22.7,21.97,24.5,19.725,18,"J. Leuer",7.91,14.06,29.88,214,-225,-5.5,""
"Trevor Booker","BKN","PF","C","DET","Tue 7:30PM",5000,20.93,6.54,45.5,47.5,23.6,24.5,26.5,7.83,20.4,25.85,17.84,"T. Booker",3.99,3.84,11.82,214,195,5.5,""
"Yogi Ferrell","DAL","PG","","GSW","Tue 8:30PM",4400,20.92,1.85,50.7,NA,24.3,NA,20.4,19.56,19.1,21.45,20.69,"Y. Ferrell",8.02,11.54,27.58,207,175,5,""
"Marquese Chriss","PHO","PF","C","@MIA","Tue 7:30PM",5600,20.8,3.03,44.2,50.8,15.7,NA,18.9,24.06,21.8,21.525,22.82,"M. Chriss",7.46,16.6,31.52,214,725,12.5,""
"Jamal Crawford","LAC","SG","","@LAL","Tue 10:30PM",3700,20.8,1.5,44.6,NA,20.3,NA,21,21.28,23.3,18.8,20.15,"J. Crawford",6.6,14.68,27.88,219.5,-435,-9,"3in4-B2B"
"Alex Len","PHO","C","","@MIA","Tue 7:30PM",4000,20.78,1.7,50.8,NA,18.6,NA,19.9,20.37,22.2,23.325,20.3,"A. Len",6.11,14.26,26.48,214,725,12.5,""
"Maurice Harkless","POR","SF","","MIL","Tue 10:00PM",4000,20.71,2.72,46.9,NA,25.9,NA,21,19.48,20.4,19.3,18.18,"M. Harkless",6.23,13.25,25.71,212,-195,-5,"3in4"
"Jordan Crawford","NOR","SG","","MEM","Tue 8:00PM",4100,20.7,2.29,44.3,NA,22.8,NA,22.5,20.88,19.3,21.9,16.82,"J. Crawford",7.1,13.78,27.98,208.5,-135,-2,""
"Jose Juan Barea","DAL","PG","","GSW","Tue 8:30PM",4100,20.6,2.25,50.7,NA,19.5,NA,24.1,20.4,NA,20.975,18.03,"J. Barea",7.96,12.44,28.36,207,175,5,""
"Nikola Mirotic","CHI","PF","","@TOR","Tue 7:00PM",4600,20.21,2.34,47.9,NA,19.8,NA,20.4,24.52,19.2,19.85,17.48,"N. Mirotic",12.01,12.51,36.53,200,230,6.5,""
"Evan Turner","POR","SG","SF","MIL","Tue 10:00PM",4000,20.12,2.14,43.7,46.9,21.4,NA,21.5,19.34,17.6,22.925,17.98,"E. Turner",7.16,12.18,26.5,212,-195,-5,"3in4"
"Patty Mills",NA,NA,NA,NA,NA,NA,20.1,0,NA,NA,NA,NA,NA,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caris LeVert","BKN","SF","","DET","Tue 7:30PM",3900,19.88,2.32,43,NA,19.9,NA,15.5,20.79,20.9,19.9,22.32,"C. LeVert",8.32,12.47,29.11,214,195,5.5,""
"Austin Rivers","LAC","PG","SG","@LAL","Tue 10:30PM",3800,19.66,1.83,55.7,44.6,21.3,NA,21.3,20.32,19,16.425,19.61,"A. Rivers",6.1,14.22,26.42,219.5,-435,-9,"3in4-B2B"
"Spencer Dinwiddie","BKN","PG","SG","DET","Tue 7:30PM",3800,19.59,2.62,52.2,40.5,15.8,NA,17.8,21.88,21.5,18.45,22.14,"S. Dinwiddie",7.22,14.66,29.1,214,195,5.5,""
"Andre Iguodala","GSW","SG","","@DAL","Tue 8:30PM",4600,19.51,1.89,43.3,NA,19.4,NA,19,22.61,17.6,20.65,17.78,"A. Iguodala",7.01,15.6,29.62,207,-205,-5,"3in4-B2B"
