"Player","Team","Pos","Pos2","Opp","Tipoff","Salary","Projection","SE","FantasyPros","numberFire","RotoGrinders","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation","PTS","Three","Two","FT","TRB","AST","BLK","STL","TOV","Actual","Value","actValue"
"Jaylen Brown",NA,"SG","SF",NA,NA,NA,21.26,3.89,NA,24.8,22.16,15.7,22.38,"J. Brown",11.97,10.19,34.13,228,-210,-5,NA,14,1,3,5,6,3,0,1,1,28,NA,NA
"Rodney Hood",NA,"SG","",NA,NA,NA,21.1,1.01,NA,22.5,20.25,21.175,20.48,"R. Hood",9.11,11.14,29.36,192.5,-500,-9.5,NA,28,4,6,4,4,0,0,2,1,38.5,NA,NA
"Marquese Chriss",NA,"PF","",NA,NA,NA,21.04,1.18,NA,21.4,22.02,19.325,21.43,"M. Chriss",8.81,13.21,30.83,228,180,5,NA,10,0,5,0,6,0,5,1,1,29,NA,NA
"Andre Iguodala",NA,"SG","SF",NA,NA,NA,20.3,0.87,NA,19,20.71,20.9,20.58,"A. Iguodala",7.46,13.25,28.17,219,-700,-10.5,NA,6,2,0,0,3,4,0,2,1,20.25,NA,NA
"Thabo Sefolosha",NA,"SG","SF",NA,NA,NA,20.17,2.66,NA,18.8,24.12,18.45,19.31,"T. Sefolosha",10.61,13.51,34.73,209.5,-150,-3,NA,12,2,2,2,6,4,0,2,0,30.5,NA,NA
"Monta Ellis",NA,"SG","",NA,NA,NA,20.16,1.51,NA,20.1,20.72,21.7,18.12,"M. Ellis",9.12,11.6,29.84,209.5,130,3,NA,3,1,0,0,3,3,0,1,3,12.25,NA,NA
"Zaza Pachulia",NA,"C","",NA,NA,NA,20.16,1.43,NA,20,19.51,22.2,18.94,"Z. Pachulia",10.34,9.17,29.85,219,-700,-10.5,NA,10,0,5,0,1,2,1,1,2,17.25,NA,NA
"Nick Young","LAL","SG","","NOR","Sun 9:30PM",3700,19.81,1.25,21.3,20.6,18.03,19.35,19.76,"N. Young",10.82,7.21,28.85,217.5,205,6,"",19,4,3,1,4,0,0,1,2,27,5.35405405405405,7.2972972972973
"Bojan Bogdanovic",NA,"SG","SF",NA,NA,NA,19.68,2.37,NA,21.6,16.74,21.6,18.76,"B. Bogdanovic",9.04,7.7,25.78,217,0,-11,NA,27,8,1,1,2,1,0,0,1,34.5,NA,NA
"Kyle O'Quinn",NA,"C","",NA,NA,NA,19.21,2.19,NA,16.5,19.72,18.825,21.78,"K. O'Quinn",12.03,7.69,31.75,219,535,10.5,NA,2,0,1,0,4,5,0,0,2,13.5,NA,NA
"Taj Gibson","OKC","PF","","@DAL","Sun 8:30PM",4100,19.06,3.41,22.7,17.3,15.79,22.8,16.7,"T. Gibson",8.84,6.95,24.63,207,-105,1,"3in4",6,0,2,2,2,1,0,0,1,9.5,4.64878048780488,2.31707317073171
"Larry Nance","LAL","PF","","NOR","Sun 9:30PM",3800,18.78,0.63,18.3,18.7,18.31,19.85,18.76,"L. Nance",5.86,12.45,24.17,217.5,205,6,"",4,0,2,0,5,0,0,1,1,11.75,4.9421052631579,3.09210526315789
"C.J. Miles",NA,"SG","SF",NA,NA,NA,18.68,0.63,NA,19.1,19.33,18.15,18.12,"C. Miles",7.73,11.6,27.06,209.5,130,3,NA,13,3,2,0,5,2,0,0,1,23.25,NA,NA
"Jeff Green",NA,"SF","PF",NA,NA,NA,18.61,3.6,NA,20.5,13.81,22.075,18.06,"J. Green",7.87,5.94,21.68,217,0,11,NA,12,1,4,1,2,0,0,0,0,15,NA,NA
"Matt Barnes",NA,"PF","",NA,NA,NA,18.54,6.64,NA,15,11.82,20.375,26.98,"M. Barnes",5.91,5.91,17.73,219,-700,-10.5,NA,3,1,0,0,3,2,1,2,1,15.75,NA,NA
"Buddy Hield",NA,"SG","",NA,NA,NA,18.49,2.44,NA,19.8,19.16,20.125,14.89,"B. Hield",10.15,9.01,29.31,192.5,405,9.5,NA,10,2,2,0,2,1,0,1,5,14.5,NA,NA
