"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Danny Valencia","3B","SEA","@HOU","R",6,2500,9.53,1.99,0,8,8.68,12.7,9.4,7.4,10.99,0,134,0.76,8.5,1,"D. Valencia",3,3.812,1.2
"Mitch Moreland","1B","BOS","PIT","L",5,2600,9.52,0.98,0,10.89,9.96,NA,9.6,8.63,8.53,0,-151,-0.880000000000001,8.5,0.95,"M. Moreland",0,3.66153846153846,0
"Tyler Naquin","OF","CLE","@TEX","L",7,2500,9.5,1.99,0,NA,8.92,10.4,11.7,6.42,10.04,0,-115,-0.18,7.5,NA,"T. Naquin",6.2,3.8,2.48
"Mike Moustakas","3B","KCR","@MIN","L",2,2500,9.48,0.62,0,9.63,9.7,9.5,10.1,8.28,9.65,0,-105,0.0999999999999996,8,0.99,"M. Moustakas",18.7,3.792,7.48
"Byron Buxton","OF","MIN","KCR","R",3,2700,9.47,0.79,0,10.51,9.65,8.9,9.3,8.36,10.12,0,-105,-0.0999999999999996,8,0.99,"B. Buxton",0,3.50740740740741,0
"Howie Kendrick","OF","PHI","@CIN","R",2,2500,9.47,1.06,0,9.36,10.37,8.8,10.7,7.81,9.76,0,105,0.199999999999999,8.5,0.98,"H. Kendrick",12,3.788,4.8
"Mike Napoli","1B","TEX","CLE","R",4,3000,9.41,1.36,0,11.09,9,8.7,10.4,7.31,9.96,0,105,0.18,7.5,0.94,"M. Napoli",6.2,3.13666666666667,2.06666666666667
"Carlos Gomez","OF","TEX","CLE","R",2,2800,9.39,2,0,12.07,9.5,7,9.6,7.24,10.95,0,105,0.18,7.5,0.94,"C. Gomez",21.7,3.35357142857143,7.75
"Dee Gordon","2B","MIA","@WAS","L",1,3200,9.39,1.4,0,10.83,9.95,NA,9.4,7.08,9.68,0,183,1.46,8,1,"D. Gordon",0,2.934375,0
"Russell Martin","C","TOR","@BAL","R",6,2600,9.35,1.4,0,11.74,8.6,9.2,9.3,7.53,9.73,0,123,0.559999999999999,8.5,0.97,"R. Martin",6,3.59615384615385,2.30769230769231
"Adam Frazier","SS","PIT","@BOS","L",1,2100,9.35,1.64,0,8.3,10.94,NA,11.2,7.49,8.84,0,141,0.879999999999999,8.5,0.95,"A. Frazier",9,4.45238095238095,4.28571428571429
"Andrew Toles","OF","LAD","SDP","L",1,2000,9.3,1.53,0,9.55,10.62,10.4,9,6.42,9.8,0,-344,-2.34,6.5,1.04,"A. Toles",9.2,4.65,4.6
"Eugenio Suarez","3B","CIN","PHI","R",5,2800,9.29,1,0,10.6,9.9,9.4,8.9,7.63,9.28,0,-115,-0.199999999999999,8.5,0.98,"E. Suarez",3,3.31785714285714,1.07142857142857
"Gerardo Parra","OF","COL","@MIL","L",6,2700,9.24,0.98,0,9.23,9.46,NA,10.5,7.75,9.24,0,-125,-0.380000000000001,8,0.96,"G. Parra",9.5,3.42222222222222,3.51851851851852
"Jonathan Lucroy","C","TEX","CLE","R",6,3200,9.23,1.44,0,10.89,8.34,9.5,9.4,6.89,10.36,0,105,0.18,7.5,0.94,"J. Lucroy",0,2.884375,0
"Eric Thames","1B","MIL","COL","L",2,2200,9.21,2.72,0,6.01,10.45,NA,8.2,8.2,13.17,0,115,0.379999999999999,8,0.96,"E. Thames",19.2,4.18636363636364,8.72727272727273
"Josh Reddick","OF","HOU","SEA","L",6,2700,9.2,1.1,0,9.99,9.94,9.9,9.2,7.11,9.03,0,-144,-0.76,8.5,1,"J. Reddick",3,3.40740740740741,1.11111111111111
"Brian McCann","C","HOU","SEA","L",8,2600,9.19,1.09,0,10.2,8.64,8.8,10.2,7.45,9.83,0,-144,-0.76,8.5,1,"B. McCann",0,3.53461538461538,0
"Justin Bour","1B","MIA","@WAS","L",5,2800,9.19,1.66,0,11.44,8.92,NA,9.4,6.78,9.42,0,183,1.46,8,1,"J. Bour",0,3.28214285714286,0
"Steve Pearce","OF","TOR","@BAL","R",7,2900,9.14,1.53,0,10.49,9.11,9.2,9.9,6.2,9.93,0,123,0.559999999999999,8.5,0.97,"S. Pearce",12.2,3.15172413793103,4.20689655172414
"Domingo Santana","OF","MIL","COL","R",5,2900,9.12,0.94,0,10.16,9.28,NA,9.1,7.61,9.47,0,115,0.379999999999999,8,0.96,"D. Santana",12,3.1448275862069,4.13793103448276
"Robbie Grossman","OF","MIN","KCR","S",2,2600,9.12,1.3,0,10.41,8.14,9.7,10.3,7.11,9.06,0,-105,-0.0999999999999996,8,0.99,"R. Grossman",12.7,3.50769230769231,4.88461538461538
"Matt Kemp","OF","ATL","@NYM","R",4,3200,9.1,1.72,0,11.75,8.7,NA,9.5,7.05,8.52,0,166,1.06,7,1.06,"M. Kemp",6,2.84375,1.875
"Mark Reynolds","1B","COL","@MIL","R",7,2900,9.06,1.52,0,10.97,8.75,NA,9.9,6.89,8.77,0,-125,-0.380000000000001,8,0.96,"M. Reynolds",37.9,3.12413793103448,13.0689655172414
"Travis Shaw","3B","MIL","COL","L",4,2600,9.05,1.07,0,9.48,9.04,NA,9.2,7.31,10.21,0,115,0.379999999999999,8,0.96,"T. Shaw",15.5,3.48076923076923,5.96153846153846
"Timothy Anderson","SS","CHW","DET","R",2,2700,9.04,1.09,0,10.46,8.85,9.3,9.6,7.18,8.86,0,114,0.32,7,0.98,"T. Anderson",NA,3.34814814814815,NA
"Paulo Orlando","OF","KCR","@MIN","R",7,2500,9.04,1.27,0,10.61,8.31,9.6,10,7.15,8.57,0,-105,0.0999999999999996,8,0.99,"P. Orlando",0,3.616,0
"Matt Joyce","OF","OAK","LAA","L",6,2400,9,0.92,0,9.19,8.71,9,10.1,7.41,9.61,0,101,0.120000000000001,8,1.03,"M. Joyce",3,3.75,1.25
"Stephen Drew","SS","WAS","MIA","L",7,2300,8.97,1.46,0,9.68,9.23,NA,10.6,6.69,8.67,0,-197,-1.46,8,1,"S. Drew",0,3.9,0
"Yasiel Puig","OF","LAD","SDP","R",8,2600,8.92,1.04,0,10.61,9.24,7.9,8.6,7.85,9.3,0,-344,-2.34,6.5,1.04,"Y. Puig",15.2,3.43076923076923,5.84615384615385
"Zack Cozart","SS","CIN","PHI","R",7,2800,8.88,0.79,0,10.14,8.16,9.2,9.1,7.95,8.73,0,-115,-0.199999999999999,8.5,0.98,"Z. Cozart",6.2,3.17142857142857,2.21428571428571
"Stephen Vogt","C","OAK","LAA","L",2,2700,8.88,1.13,0,10.52,8.71,7.4,9.1,7.94,9.63,0,101,0.120000000000001,8,1.03,"S. Vogt",21.7,3.28888888888889,8.03703703703704
"Yunel Escobar","3B","LAA","@OAK","R",1,2600,8.88,0.92,0,10.21,9.48,8,9.2,7.82,8.54,0,-111,-0.119999999999999,8,1.03,"Y. Escobar",6,3.41538461538462,2.30769230769231
"Jonathan Schoop","2B","BAL","TOR","R",8,2600,8.88,1.04,0,10.63,8.68,8.1,8.6,7.75,9.49,0,-133,-0.56,8.5,0.97,"J. Schoop",0,3.41538461538462,0
"Melky Cabrera","OF","CHW","DET","S",3,2600,8.87,1.61,0,11.63,8.77,7.6,9.5,7.05,8.64,0,114,0.32,7,0.98,"M. Cabrera",NA,3.41153846153846,NA
