"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Justin Verlander",NA,NA,NA,NA,NA,NA,37.36,3.69,NA,NA,37.32,43.5,36.72,33.8,NA,35.48,NA,NA,NA,NA,NA,NA,"J. Verlander"
"Lance McCullers","P","HOU","SEA","R",NA,8800,36.39,4.16,0,42.28,38.52,40.9,34.5,29.5,36.72,33.36,35.31,0,-157,-0.98,8.5,1,"L. McCullers"
"Johnny Cueto","P","SFG","@ARI","R",NA,9200,35.63,3.66,0,39.94,31.36,39.7,33.02,35.4,39.27,35.19,31.17,0,-150,-0.92,9,1.04,"J. Cueto"
"Kenta Maeda","P","LAD","SDP","R",NA,8600,34.83,4.62,0,37.39,40.18,29.5,36.95,38.8,36.54,27.55,31.72,0,-222,-1.66,7.5,0.96,"K. Maeda"
"Jake Arrieta","P","CHC","@STL","R",NA,10500,34.65,3.85,0,38.02,33.87,39,36.04,29.2,37.81,34.19,29.09,0,-136,-0.539999999999999,7.5,0.98,"J. Arrieta"
"Carlos Carrasco","P","CLE","@TEX","R",NA,9900,34.3,4.52,0,39.87,34.69,39.7,31.32,27.1,37.06,34.12,30.54,0,NA,NA,NA,1.06,"C. Carrasco"
"Jose Quintana",NA,NA,NA,NA,NA,NA,33.13,1.66,NA,NA,32.37,36,31.92,33.1,NA,32.27,NA,NA,NA,NA,NA,NA,"J. Quintana"
"Tyler Anderson","P","COL","@MIL","L",NA,6400,32.51,3.29,0,33.69,36.33,36.9,NA,30.1,30.82,27.98,31.74,0,102,0.140000000000001,8.5,1.04,"T. Anderson"
"CC Sabathia","P","NYY","@TBR","L",NA,7400,31.86,3.47,0,38.23,34.61,33.4,31.77,30.5,28.17,27.85,30.35,0,-111,-0.12,7.5,0.96,"C. Sabathia"
"Matt Shoemaker","P","LAA","@OAK","R",NA,8000,31.15,4.35,0,36.89,29.11,35.4,30.8,27.7,35.49,29.12,24.66,0,-104,0.0999999999999996,7.5,0.97,"M. Shoemaker"
"Jake Odorizzi","P","TBR","NYY","R",NA,7700,30.41,2.79,0,35.97,32.12,27.5,30.52,29.5,31.41,28.47,27.83,0,101,0.12,7.5,0.96,"J. Odorizzi"
"Sean Manaea","P","OAK","LAA","L",NA,6800,29,2.28,0,27.09,28.24,31.9,NA,30,31.86,26.24,27.66,0,-106,-0.0999999999999996,7.5,0.97,"S. Manaea"
"Zach Davies","P","MIL","COL","R",NA,7300,28.98,2.76,0,33.48,29.6,30.2,NA,25.8,29.52,25.35,28.9,0,-112,-0.140000000000001,8.5,1.04,"Z. Davies"
"Adam Wainwright","P","STL","CHC","R",NA,7600,28.58,3.12,0,32.57,28.61,32.8,NA,27.7,28,24.62,25.74,0,126,0.54,7.5,0.98,"A. Wainwright"
"Hisashi Iwakuma","P","SEA","@HOU","R",NA,7800,25.6,2.39,0,28.43,22.35,26.2,NA,26.9,27.96,24.28,23.08,0,147,0.98,8.5,1,"H. Iwakuma"
"Patrick Corbin","P","ARI","SFG","L",NA,5100,24.72,2.84,0,21.8,27.93,25.7,NA,21.9,24.77,22.33,28.58,0,140,0.92,9,1.04,"P. Corbin"
"Clayton Richard","P","SDP","@LAD","L",NA,6600,23.48,3.39,0,28.65,22.92,27.2,NA,22.8,20.01,19.56,23.22,0,205,1.66,7.5,0.96,"C. Richard"
"Martin Perez","P","TEX","CLE","L",NA,6400,23.31,2.4,0,27.77,21.21,21.9,NA,24.7,24.26,22.03,21.33,0,NA,NA,NA,1.06,"M. Perez"
"Mike Trout","OF","LAA","@OAK","R",3,4900,12.83,3.41,0,19.47,12.9,13.8,11.45,12.7,11.86,13.4,7.05,0,-104,0.0999999999999996,7.5,1.03,"M. Trout"
"Charlie Blackmon","OF","COL","@MIL","L",1,4000,12.46,2,0,15.61,11.9,11.5,NA,14.5,10.75,12.84,10.1,0,102,0.140000000000001,8.5,0.96,"C. Blackmon"
"Kris Bryant","3B","CHC","@STL","R",2,4400,12.24,1.52,0,15.34,10.73,12.8,10.77,12.8,11.4,12.62,11.45,0,-136,-0.539999999999999,7.5,1.02,"K. Bryant"
"Nolan Arenado","3B","COL","@MIL","R",4,4000,12.04,2.3,0,15.6,11.14,11.7,10.17,14.8,11.62,12.63,8.62,0,102,0.140000000000001,8.5,0.96,"N. Arenado"
"Edwin Encarnacion","1B","CLE","@TEX","R",4,4400,12.03,1.31,0,14.44,11.88,12.4,11.01,12.6,11.48,12.47,9.99,0,NA,NA,NA,0.94,"E. Encarnacion"
"Anthony Rizzo","1B","CHC","@STL","L",3,4100,11.76,1.25,0,13.53,10.45,13,10.6,12.6,11.29,12.28,10.34,0,-136,-0.539999999999999,7.5,1.02,"A. Rizzo"
"George Springer","OF","HOU","SEA","R",1,3800,11.75,1.12,0,14.07,12.02,10.8,10.95,12.6,10.89,11.32,11.36,0,-157,-0.98,8.5,1,"G. Springer"
"Ryan Braun","OF","MIL","COL","R",3,4000,11.54,1.36,0,10.8,10.61,13.2,10.14,12.4,11.72,13.45,10.02,0,-112,-0.140000000000001,8.5,0.96,"R. Braun"
"Jose Altuve","2B","HOU","SEA","R",3,4100,11.53,1.4,0,13.07,11.63,13,9.66,12.1,12.01,11.48,9.28,0,-157,-0.98,8.5,1,"J. Altuve"
"Paul Goldschmidt","1B","ARI","SFG","R",3,4300,11.52,1.94,0,14.89,11.53,10.4,10.14,12.3,8.39,12.7,11.8,0,140,0.92,9,0.96,"P. Goldschmidt"
"Carlos Santana","1B","CLE","@TEX","S",1,3500,11.5,1.64,0,13.65,11.44,9,10.37,14,10.83,11.31,11.42,0,NA,NA,NA,0.94,"C. Santana"
"Robinson Cano","2B","SEA","@HOU","L",3,3400,11.48,2.07,0,13.68,9.53,14.8,NA,11,10.68,11.46,9.21,0,147,0.98,8.5,1,"R. Cano"
"Miguel Cabrera",NA,NA,NA,NA,NA,NA,11.43,1.99,NA,NA,11.27,9.3,10.69,14.7,NA,11.17,NA,NA,NA,NA,NA,NA,"M. Cabrera"
"Buster Posey","C","SFG","@ARI","R",4,3300,11.37,1.07,0,13.1,11.51,11.2,11.57,12.4,9.91,11.17,10.07,0,-150,-0.92,9,0.96,"B. Posey"
"Jacob Lamb",NA,NA,NA,NA,NA,NA,11.32,0,NA,11.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA
"Carlos Gonzalez","OF","COL","@MIL","L",3,3800,11.28,1.02,0,12.37,11.53,11.6,NA,11.2,10.22,12.35,9.67,0,102,0.140000000000001,8.5,0.96,"C. Gonzalez"
"Hunter Pence","OF","SFG","@ARI","R",3,2500,11.27,1.09,0,12.37,11.2,12.4,10.87,12.3,9.35,11.31,10.32,0,-150,-0.92,9,0.96,"H. Pence"
"Jonathan Villar","3B","MIL","COL","S",1,3600,11.23,1.58,0,10.23,10.05,13.3,NA,12.2,10.77,12.92,9.14,0,-112,-0.140000000000001,8.5,0.96,"J. Villar"
"Trevor Story","SS","COL","@MIL","R",5,3600,11.19,2.41,0,14.16,10.37,11.4,NA,13.5,9.87,12.04,7.02,0,102,0.140000000000001,8.5,0.96,"T. Story"
"Carlos Correa","SS","HOU","SEA","R",4,3900,11.08,0.9,0,12.64,11.37,11.5,10.6,10.8,10.57,11.54,9.6,0,-157,-0.98,8.5,1,"C. Correa"
"Ian Kinsler",NA,NA,NA,NA,NA,NA,11.05,1.01,NA,NA,10.02,12.1,NA,11.7,NA,10.37,NA,NA,NA,NA,NA,NA,"I. Kinsler"
"Albert Pujols","1B","LAA","@OAK","R",4,3000,10.99,2.47,0,15.88,10.47,13.6,9.29,10.7,9.32,9.94,8.75,0,-104,0.0999999999999996,7.5,1.03,"A. Pujols"
"Francisco Lindor","SS","CLE","@TEX","S",2,3500,10.96,1.14,0,12.23,11.08,11.7,9.92,12.3,10.48,10.92,9.01,0,NA,NA,NA,0.94,"F. Lindor"
"Kyle Seager","3B","SEA","@HOU","L",5,3500,10.96,2.38,0,12.34,9.28,14.1,NA,13.1,9.03,11.23,7.62,0,147,0.98,8.5,1,"K. Seager"
"Jean Segura","SS","SEA","@HOU","R",1,3200,10.75,2.18,0,14.03,10.04,12.1,NA,12.1,7.7,10.64,8.67,0,147,0.98,8.5,1,"J. Segura"
"Logan Forsythe","2B","LAD","SDP","R",1,2800,10.71,1.33,0,13.28,10.11,10.5,10.12,10.5,10.89,11.6,8.67,0,-222,-1.66,7.5,1.04,"L. Forsythe"
"Nelson Cruz","OF","SEA","@HOU","R",4,3800,10.71,1.61,0,13.93,9.79,11.3,9.36,11.7,9.56,10.85,9.17,0,147,0.98,8.5,1,"N. Cruz"
"Eduardo Nunez","3B","SFG","@ARI","R",2,2700,10.62,1.19,0,12.29,9.96,11.7,NA,10.6,8.94,11.19,9.67,0,-150,-0.92,9,0.96,"E. Nunez"
"Kyle Schwarber","OF","CHC","@STL","L",1,3400,10.59,1.32,0,8.58,10.29,10.8,10.96,9.4,10.22,12.93,11.52,0,-136,-0.539999999999999,7.5,1.02,"K. Schwarber"
"Brandon Belt","1B","SFG","@ARI","L",6,2900,10.56,1.78,0,12.61,10.65,10.2,9.52,13.1,7.34,10.72,10.38,0,-150,-0.92,9,0.96,"B. Belt"
"Justin Turner","3B","LAD","SDP","R",3,3500,10.52,1.6,0,12.59,10,10,NA,12.4,10.37,10.41,7.89,0,-222,-1.66,7.5,1.04,"J. Turner"
"Rougned Odor","2B","TEX","CLE","L",5,3200,10.5,2.04,0,13.39,10.01,12,NA,10.5,7.38,11.55,8.7,0,NA,NA,NA,0.94,"R. Odor"
"Corey Seager","SS","LAD","SDP","L",2,3600,10.39,0.83,0,12.03,9.41,10.2,NA,10.7,9.83,10.43,10.11,0,-222,-1.66,7.5,1.04,"C. Seager"
"Jake Lamb","3B","ARI","SFG","L",2,2900,10.37,1.19,0,NA,10.31,10.9,NA,10.4,8.21,11.82,10.58,0,140,0.92,9,NA,"J. Lamb"
"Jose Ramirez","3B","CLE","@TEX","S",5,3300,10.36,1.42,0,13.16,10.84,9,9.77,11.4,9.18,10.32,9.19,0,NA,NA,NA,0.94,"J. Ramirez"
"Alex Bregman","3B","HOU","SEA","R",2,3300,10.33,1.25,0,12.92,10.66,10.3,10.13,9.9,9.52,10.63,8.58,0,-157,-0.98,8.5,1,"A. Bregman"
"Carlos Beltran","OF","HOU","SEA","S",5,3200,10.26,1.99,0,11.97,10.02,10.2,NA,13.1,9.41,10.31,6.8,0,-157,-0.98,8.5,1,"C. Beltran"
"Wil Myers","1B","SDP","@LAD","R",2,3600,10.26,1.3,0,11.99,8.94,11.1,NA,10.9,8.45,10.94,9.47,0,205,1.66,7.5,1.04,"W. Myers"
"Khris Davis","OF","OAK","LAA","R",4,3000,10.23,2.02,0,14.39,9.5,9.7,9.29,11.4,8.22,10.99,8.36,0,-106,-0.0999999999999996,7.5,1.03,"K. Davis"
"Ben Zobrist","2B","CHC","@STL","S",4,3100,10.14,1.16,0,11.54,9.52,10.8,NA,11.4,9.54,9.85,8.32,0,-136,-0.539999999999999,7.5,1.02,"B. Zobrist"
"Todd Frazier",NA,NA,NA,NA,NA,NA,10.12,0.58,NA,NA,9.27,10.5,NA,10.5,NA,10.23,NA,NA,NA,NA,NA,NA,"T. Frazier"
"Mike Napoli","1B","TEX","CLE","R",4,3000,10.07,1.4,0,11.49,9.36,10.6,NA,11.5,7.44,9.96,10.17,0,NA,NA,NA,0.94,"M. Napoli"
"Cameron Maybin","OF","LAA","@OAK","R",6,2800,10.05,2.5,0,14.13,NA,11.9,NA,8.4,7.63,9.86,8.41,0,-104,0.0999999999999996,7.5,1.03,"C. Maybin"
"Kole Calhoun","OF","LAA","@OAK","L",2,3200,10.02,2.41,0,14.72,8.84,10.8,NA,10.5,7.02,9.14,9.11,0,-104,0.0999999999999996,7.5,1.03,"K. Calhoun"
"Matt Carpenter","2B","STL","CHC","L",3,3100,9.95,1.59,0,11.39,9.31,10.4,NA,10.6,9.68,11.43,6.83,0,126,0.54,7.5,1.02,"M. Carpenter"
"Gary Sanchez","C","NYY","@TBR","R",2,3400,9.94,1.22,0,10.29,9.86,9.6,9.38,12,9.8,10.84,7.77,0,-111,-0.12,7.5,1.04,"G. Sanchez"
"Justin Upton",NA,NA,NA,NA,NA,NA,9.93,0.74,NA,NA,10.17,9,9.32,10.7,NA,10.47,NA,NA,NA,NA,NA,NA,"J. Upton"
"A.J. Pollock","OF","ARI","SFG","R",1,3500,9.92,1.63,0,10.45,10.82,10.3,NA,9.9,8.13,12.3,7.51,0,140,0.92,9,0.96,"A. Pollock"
"DJ LeMahieu","2B","COL","@MIL","R",2,3000,9.91,1.76,0,12.69,9.78,8.8,NA,11.3,8.69,10.59,7.53,0,102,0.140000000000001,8.5,0.96,"D. LeMahieu"
"Dexter Fowler","OF","STL","CHC","S",1,3400,9.82,1.38,0,11.57,9.27,9.9,NA,10.9,7.67,10.78,8.67,0,126,0.54,7.5,1.02,"D. Fowler"
"Greg Bird",NA,NA,NA,NA,NA,NA,9.79,0.93,NA,NA,NA,NA,NA,10.2,NA,10.44,8.73,NA,NA,NA,NA,NA,"G. Bird"
"Michael Brantley","OF","CLE","@TEX","L",3,3200,9.75,1.18,0,9.09,10.85,10.7,10.17,10.8,8.61,10.12,7.63,0,NA,NA,NA,0.94,"M. Brantley"
"Evan Longoria","3B","TBR","NYY","R",3,3200,9.73,0.86,0,8.98,9.28,9.2,9.5,9.8,10.62,11.41,9.06,0,101,0.12,7.5,1.04,"E. Longoria"
"Victor Martinez",NA,NA,NA,NA,NA,NA,9.71,0.73,NA,NA,9.03,10,NA,10.6,NA,9.21,NA,NA,NA,NA,NA,NA,"V. Martinez"
"Rajai Davis","OF","OAK","LAA","R",1,2600,9.7,1.16,0,10.64,9.94,10,NA,10.1,7.73,10.95,8.51,0,-106,-0.0999999999999996,7.5,1.03,"R. Davis"
"Aledmys Diaz","SS","STL","CHC","R",2,3200,9.7,2.12,0,12.79,9.23,9.3,NA,11.1,7.06,11.16,7.25,0,126,0.54,7.5,1.02,"A. Diaz"
"Nick Castellanos",NA,NA,NA,NA,NA,NA,9.7,0.56,NA,NA,9.68,9.3,NA,10.5,NA,9.33,NA,NA,NA,NA,NA,NA,"N. Castellanos"
"Joc Pederson","OF","LAD","SDP","L",6,2800,9.69,1.47,0,11.39,9.14,9.2,NA,12,7.8,9.36,8.95,0,-222,-1.66,7.5,1.04,"J. Pederson"
"Jose Abreu",NA,NA,NA,NA,NA,NA,9.65,0.5,NA,NA,9.47,9.7,NA,10.3,NA,9.12,NA,NA,NA,NA,NA,NA,"J. Abreu"
"Carlos Gomez","OF","TEX","CLE","R",1,2800,9.57,1.79,0,12.44,10.14,7.9,NA,9.8,7.53,10.96,8.24,0,NA,NA,NA,0.94,"C. Gomez"
"Addison Russell","SS","CHC","@STL","R",5,2700,9.54,1.29,0,11.68,9.1,9.8,NA,9.8,7.99,10.31,8.09,0,-136,-0.539999999999999,7.5,1.02,"A. Russell"
"Jonathan Lucroy","C","TEX","CLE","R",6,3200,9.52,1.66,0,11.34,8.65,10.7,NA,10.7,6.98,10.35,7.93,0,NA,NA,NA,0.94,"J. Lucroy"
"Ryan Schimpf","2B","SDP","@LAD","L",5,3000,9.49,1.84,0,11.95,7.85,9.4,NA,10.8,7.96,11.14,7.31,0,205,1.66,7.5,1.04,"R. Schimpf"
"Brandon Crawford","SS","SFG","@ARI","L",5,2400,9.48,1.62,0,12.11,9.64,7.8,9.36,11.2,7.44,9.94,8.34,0,-150,-0.92,9,0.96,"B. Crawford"
"Adrian Gonzalez","1B","LAD","SDP","L",4,2800,9.45,1.27,0,11.84,8.79,8.7,NA,9.8,8,8.93,10.09,0,-222,-1.66,7.5,1.04,"A. Gonzalez"
"Shin-Soo Choo","OF","TEX","CLE","L",2,2800,9.4,1.57,0,11.3,9.66,9.6,NA,9.1,8.01,11.18,6.96,0,NA,NA,NA,0.94,"S. Choo"
"Yasmani Grandal","C","LAD","SDP","S",7,2800,9.37,1.58,0,12.62,8.36,8.6,NA,9.2,8.18,10.12,8.49,0,-222,-1.66,7.5,1.04,"Y. Grandal"
"Josh Reddick","OF","HOU","SEA","L",6,2700,9.36,0.85,0,10.06,10.02,10.6,NA,8.8,8.61,9.03,8.42,0,-157,-0.98,8.5,1,"J. Reddick"
"Domingo Santana","OF","MIL","COL","R",5,2900,9.36,1.45,0,7.22,9.46,10.3,NA,10,7.87,11.48,9.16,0,-112,-0.140000000000001,8.5,0.96,"D. Santana"
"Steven Souza",NA,NA,NA,NA,NA,NA,9.34,0.33,NA,NA,NA,9.1,NA,9.2,NA,9.72,NA,NA,NA,NA,NA,NA,"S. Souza"
"Keon Broxton","OF","MIL","COL","R",6,3000,9.32,1.11,0,8.64,9.48,9.5,NA,11,7.86,10.35,8.42,0,-112,-0.140000000000001,8.5,0.96,"K. Broxton"
"Tyler Saladino",NA,NA,NA,NA,NA,NA,9.32,0.48,NA,NA,9.12,10,NA,8.9,NA,9.26,NA,NA,NA,NA,NA,NA,"T. Saladino"
"Steve Souza","OF","TBR","NYY","R",5,2700,9.3,1.61,0,10.44,NA,NA,NA,NA,8.16,NA,NA,0,101,0.12,7.5,1.04,NA
"Nomar Mazara","OF","TEX","CLE","L",3,2600,9.28,1.38,0,10.01,9.38,11.2,NA,7.8,7.36,10.37,8.84,0,NA,NA,NA,0.94,"N. Mazara"
"Willson Contreras","C","CHC","@STL","R",7,2900,9.22,1.67,0,10.57,8.64,10.7,NA,10.7,7.61,9.79,6.54,0,-136,-0.539999999999999,7.5,1.02,"W. Contreras"
"Yasiel Puig","OF","LAD","SDP","R",8,2600,9.2,1.19,0,11.35,9.51,8.6,9.36,9.1,7.93,10.1,7.68,0,-222,-1.66,7.5,1.04,"Y. Puig"
"Jarrod Dyson","OF","SEA","@HOU","L",9,2700,9.18,2.07,0,11.04,8.81,12,NA,9.4,7.26,9.76,6,0,147,0.98,8.5,1,"J. Dyson"
"Joe Panik",NA,NA,NA,NA,NA,NA,9.15,0.96,NA,10.72,8.25,8.5,NA,NA,NA,9.11,9.18,NA,NA,NA,NA,0.96,NA
"Kevin Kiermaier","OF","TBR","NYY","L",2,3000,9.11,1.4,0,8.72,8.89,10.5,NA,11.3,7.26,9.16,7.94,0,101,0.12,7.5,1.04,"K. Kiermaier"
"Timothy Anderson",NA,NA,NA,NA,NA,NA,9.11,0.42,NA,NA,8.68,9.3,NA,9.6,NA,8.85,NA,NA,NA,NA,NA,NA,"T. Anderson"
"Ryon Healy","1B","OAK","LAA","R",3,3000,9.06,1.54,0,11.88,8.54,8.7,NA,9.4,7.93,9.86,7.08,0,-106,-0.0999999999999996,7.5,1.03,"R. Healy"
"Eric Thames","1B","MIL","COL","L",2,2200,9.05,2.2,0,6.11,NA,11.5,9.69,NA,7.35,11.42,8.25,0,-112,-0.140000000000001,8.5,0.96,NA
"Yunel Escobar","3B","LAA","@OAK","R",1,2800,9.03,2.18,0,12.74,9.08,9.7,NA,9.2,8.07,9.05,5.37,0,-104,0.0999999999999996,7.5,1.03,"Y. Escobar"
"Randal Grichuk","OF","STL","CHC","R",8,2700,9,1.89,0,11.8,8.06,8.6,NA,8.9,6.6,11.26,7.75,0,126,0.54,7.5,1.02,"R. Grichuk"
"Brian McCann","C","HOU","SEA","L",8,2600,8.99,0.93,0,10.53,8.58,9.3,NA,8.6,7.96,9.83,8.16,0,-157,-0.98,8.5,1,"B. McCann"
"Brett Gardner","OF","NYY","@TBR","L",1,2800,8.91,1.58,0,6.69,9.83,8.9,NA,11.3,7.79,9.96,7.89,0,-111,-0.12,7.5,1.04,"B. Gardner"
"Denard Span","OF","SFG","@ARI","L",1,2800,8.87,2,0,11.68,10.38,6.9,NA,10.8,7.54,7.62,7.19,0,-150,-0.92,9,0.96,"D. Span"
"Leonys Martin","OF","SEA","@HOU","L",7,2900,8.84,1.36,0,9.65,7.93,11.2,NA,9.1,7.29,9.09,7.64,0,147,0.98,8.5,1,"L. Martin"
"Brad Miller","2B","TBR","NYY","L",4,3100,8.8,0.83,0,8.89,8.68,8.8,NA,10.4,7.58,8.72,8.54,0,101,0.12,7.5,1.04,"B. Miller"
"Matt Joyce","OF","OAK","LAA","L",2,2400,8.79,0.97,0,9.06,8.2,10,NA,9.4,7.58,9.6,7.67,0,-106,-0.0999999999999996,7.5,1.03,"M. Joyce"
"David Peralta","OF","ARI","SFG","L",4,2700,8.76,1.47,0,9.91,8.96,9.5,NA,7.3,7.76,10.92,6.97,0,140,0.92,9,0.96,"D. Peralta"
"Chris Owings","SS","ARI","SFG","R",7,2400,8.74,1.52,0,10.73,9.43,7.9,NA,9.4,5.89,8.67,9.19,0,140,0.92,9,0.96,"C. Owings"
"Gerardo Parra","OF","COL","@MIL","L",6,2700,8.7,0.7,0,8.85,9.41,8.2,NA,8.7,7.78,9.73,8.23,0,102,0.140000000000001,8.5,0.96,"G. Parra"
"Matt Holliday","OF","NYY","@TBR","R",4,3000,8.65,1.37,0,7.43,9.06,9.2,NA,10.7,7.99,9.49,6.65,0,-111,-0.12,7.5,1.04,"M. Holliday"
"Yangervis Solarte","3B","SDP","@LAD","S",3,2700,8.64,1.51,0,10.6,7.67,7.6,NA,10.5,7.72,9.44,6.94,0,205,1.66,7.5,1.04,"Y. Solarte"
"Danny Espinosa","2B","LAA","@OAK","S",8,2600,8.64,1.67,0,11.56,7.21,9.8,NA,8.6,7.06,9.04,7.18,0,-104,0.0999999999999996,7.5,1.03,"D. Espinosa"
"Jason Heyward","OF","CHC","@STL","L",6,2700,8.63,0.64,0,9.39,8.9,8.9,NA,8,7.68,9.24,8.32,0,-136,-0.539999999999999,7.5,1.02,"J. Heyward"
"Stephen Piscotty","OF","STL","CHC","R",7,3100,8.62,1.47,0,11.06,8.4,8.4,NA,7.8,6.48,9.9,8.29,0,126,0.54,7.5,1.02,"S. Piscotty"
"Melky Cabrera",NA,NA,NA,NA,NA,NA,8.59,0.78,NA,NA,8.64,7.6,NA,9.5,NA,8.63,NA,NA,NA,NA,NA,NA,"M. Cabrera"
"Mike Zunino","C","SEA","@HOU","R",8,2500,8.54,1.22,0,10.36,7.26,9.4,NA,8.9,6.82,8.26,8.8,0,147,0.98,8.5,1,"M. Zunino"
"Elvis Andrus","SS","TEX","CLE","R",8,2600,8.54,1.44,0,10.81,8.31,8.6,NA,9.5,6.48,8.94,7.14,0,NA,NA,NA,0.94,"E. Andrus"
"Stephen Vogt","C","OAK","LAA","L",5,2700,8.53,0.98,0,10.16,8.38,8,NA,7.7,7.85,9.65,7.94,0,-106,-0.0999999999999996,7.5,1.03,"S. Vogt"
"Yan Gomes","C","CLE","@TEX","R",6,2600,8.51,0.59,0,9.32,NA,8.4,NA,8.6,7.71,8.99,8.04,0,NA,NA,NA,0.94,"Y. Gomes"
"Tyler Naquin","OF","CLE","@TEX","L",NA,2600,8.46,1.63,0,9.4,NA,9.4,NA,NA,5.85,9.77,7.87,0,NA,NA,NA,0.94,NA
"Trevor Plouffe","3B","OAK","LAA","R",7,2400,8.44,1.31,0,11.07,7.75,7.6,NA,8.5,7.15,9.03,7.97,0,-106,-0.0999999999999996,7.5,1.03,"T. Plouffe"
"Yasmany Tomas","OF","ARI","SFG","R",5,2900,8.41,4.11,0,13.54,9.71,0.2,NA,8.9,7.01,9.62,9.89,0,140,0.92,9,0.96,"Y. Tomas"
"Steven Souza Jr.",NA,NA,NA,NA,NA,NA,8.41,1.17,NA,NA,9.24,NA,NA,NA,NA,NA,7.59,NA,NA,NA,NA,NA,NA
"Yulieski Gurriel","3B","HOU","SEA","R",7,2600,8.39,0.46,0,8.49,9.19,8.7,NA,8.1,7.78,8.32,8.14,0,-157,-0.98,8.5,1,"Y. Gurriel"
"C.J. Cron","1B","LAA","@OAK","R",5,2700,8.38,4.31,0,14.75,9.65,0.2,NA,8.5,7.73,9.76,8.06,0,-104,0.0999999999999996,7.5,1.03,"C. Cron"
"Marcus Semien","SS","OAK","LAA","R",9,2500,8.37,1.14,0,10.49,8.32,7.9,NA,7,7.44,8.96,8.46,0,-106,-0.0999999999999996,7.5,1.03,"M. Semien"
"Jacoby Ellsbury","OF","NYY","@TBR","L",5,2900,8.35,0.81,0,7.11,9.07,8.4,NA,8.9,7.86,9.35,7.77,0,-111,-0.12,7.5,1.04,"J. Ellsbury"
"Hunter Renfroe","OF","SDP","@LAD","R",4,2000,8.35,1.12,0,9.89,7.88,8.5,NA,8.4,6.55,9.49,7.73,0,205,1.66,7.5,1.04,"H. Renfroe"
"Yandy Diaz","1B","CLE","@TEX","R",8,NA,8.33,1.04,0,NA,9.27,NA,NA,8.5,7.22,NA,NA,0,NA,NA,NA,NA,"Y. Diaz"
"Corey Dickerson","OF","TBR","NYY","L",6,2800,8.31,1.88,0,7.63,NA,8.9,NA,NA,5.49,8.98,10.53,0,101,0.12,7.5,1.04,NA
"Danny Valencia","3B","SEA","@HOU","R",6,2500,8.3,0.87,0,7.86,8.15,9.3,NA,8.2,7.16,9.63,7.77,0,147,0.98,8.5,1,"D. Valencia"
"Gregory Bird","1B","NYY","@TBR","L",3,2400,8.27,1.83,0,6.59,10.22,NA,NA,NA,8,NA,NA,0,-111,-0.12,7.5,1.04,NA
"Rickie Weeks Jr.",NA,NA,NA,NA,NA,NA,8.24,0,NA,NA,8.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Drury","2B","ARI","SFG","R",6,2500,8.17,1.61,0,10.54,8.47,7.5,NA,7.3,5.62,9.65,8.09,0,140,0.92,9,0.96,"B. Drury"
"Mikie Mahtook",NA,NA,NA,NA,NA,NA,8.17,1.22,NA,NA,8.24,9.4,NA,6.5,NA,8.55,NA,NA,NA,NA,NA,NA,"M. Mahtook"
"Andrelton Simmons","SS","LAA","@OAK","R",7,2600,8.13,1.57,0,11.35,7.76,8.2,NA,8.1,6.72,8.17,6.6,0,-104,0.0999999999999996,7.5,1.03,"A. Simmons"
"Norichika Aoki","OF","HOU","SEA","L",9,2700,8.04,1.08,0,10.15,8.1,8.3,NA,7.8,6.99,8.05,6.88,0,-157,-0.98,8.5,1,"N. Aoki"
"Jhonny Peralta","SS","STL","CHC","R",5,2800,8.03,0.72,0,9.04,8.46,7.5,NA,7.8,6.84,8.21,8.38,0,126,0.54,7.5,1.02,"J. Peralta"
"Avisail Garcia",NA,NA,NA,NA,NA,NA,7.99,0.55,NA,NA,7.86,7.6,NA,8.8,NA,7.69,NA,NA,NA,NA,NA,NA,"A. Garcia"
"Franklin Gutierrez","OF","LAD","SDP","R",5,2600,7.96,3.98,0,7.94,9.62,0.3,NA,9.9,8.34,11.67,NA,0,-222,-1.66,7.5,1.04,"F. Gutierrez"
"Mark Reynolds","1B","COL","@MIL","R",7,2900,7.93,3.6,0,10.97,8.6,0.2,NA,10.2,7.36,9.47,8.73,0,102,0.140000000000001,8.5,0.96,"M. Reynolds"
"Christopher Herrmann",NA,NA,NA,NA,NA,NA,7.92,0,NA,7.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA
"Kolten Wong",NA,NA,NA,NA,NA,NA,7.92,1.06,NA,8.43,7.71,7.2,NA,NA,NA,9.47,6.81,NA,NA,NA,NA,1.02,NA
"Hernan Perez","OF","MIL","COL","R",4,2400,7.9,3.89,0,8.86,9.02,0.2,NA,10.9,8.25,10.16,NA,0,-112,-0.140000000000001,8.5,0.96,"H. Perez"
"Derek Norris","C","TBR","NYY","R",9,2400,7.89,1.18,0,5.91,7.01,8.5,NA,9,7.42,9.18,8.23,0,101,0.12,7.5,1.04,"D. Norris"
