"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Neftali Feliz",NA,NA,NA,NA,NA,NA,2.6,0,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,"N. Feliz"
"Cory Spangenberg",NA,NA,NA,NA,NA,NA,2.59,3.66,NA,5.18,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA
"Curt Casali",NA,NA,NA,NA,NA,NA,2.55,3.32,NA,4.9,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA
"Jeremy Hazelbaker",NA,NA,NA,NA,NA,NA,2.55,2.49,NA,5.22,NA,0.3,NA,NA,NA,2.14,NA,NA,NA,NA,NA,0.96,NA
"Mark Melancon",NA,NA,NA,NA,NA,NA,2.55,0.64,NA,NA,NA,2.1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"M. Melancon"
"Jarred Cosart",NA,NA,NA,NA,NA,NA,2.5,0,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenneth Giles",NA,NA,NA,NA,NA,NA,2.5,0,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelby Tomlinson",NA,NA,NA,NA,NA,NA,2.49,3.52,NA,4.98,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA
"Aaron Hicks",NA,NA,NA,NA,NA,NA,2.47,2.72,NA,5.49,NA,0.2,NA,NA,NA,1.72,NA,NA,NA,NA,NA,1.04,NA
"Alexi Amarista",NA,NA,NA,NA,NA,NA,2.47,3.21,NA,4.74,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA
"Guillermo Heredia",NA,NA,NA,NA,NA,NA,2.45,2.19,NA,4.67,NA,0.3,NA,NA,NA,2.37,NA,NA,NA,NA,NA,1,NA
"Adam Ottavino",NA,NA,NA,NA,NA,NA,2.45,0.78,NA,NA,NA,1.9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"A. Ottavino"
"David Robertson",NA,NA,NA,NA,NA,NA,2.45,0.35,NA,NA,NA,2.2,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,"D. Robertson"
"Ben Gamel",NA,NA,NA,NA,NA,NA,2.44,3.03,NA,4.58,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Austin Romine",NA,NA,NA,NA,NA,NA,2.43,2.78,NA,5.54,NA,0.2,NA,NA,NA,1.54,NA,NA,NA,NA,NA,1.04,NA
"Eric Fryer",NA,NA,NA,NA,NA,NA,2.4,3.4,NA,4.81,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,NA
"Brad Hand",NA,NA,NA,NA,NA,NA,2.4,0,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wade Davis",NA,NA,NA,NA,NA,NA,2.4,0.42,NA,NA,NA,2.1,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,"W. Davis"
"Seung-Hwan Oh",NA,NA,NA,NA,NA,NA,2.4,0,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Phegley",NA,NA,NA,NA,NA,NA,2.36,2.3,NA,4.77,NA,0.2,NA,NA,NA,2.11,NA,NA,NA,NA,NA,1.03,NA
"Cristhian Adames",NA,NA,NA,NA,NA,NA,2.35,2.45,NA,5.02,NA,0.2,NA,NA,NA,1.84,NA,NA,NA,NA,NA,0.96,NA
"Cliff Pennington",NA,NA,NA,NA,NA,NA,2.33,2.73,NA,5.41,NA,0.2,NA,NA,NA,1.39,NA,NA,NA,NA,NA,1.03,NA
"Greg Garcia",NA,NA,NA,NA,NA,NA,2.27,2.44,NA,4.96,NA,0.2,NA,NA,NA,1.65,NA,NA,NA,NA,NA,1.02,NA
"Scott Van Slyke",NA,NA,NA,NA,NA,NA,2.23,2.41,NA,4.93,NA,0.3,NA,NA,NA,1.45,NA,NA,NA,NA,NA,1.04,NA
"Dustin Garneau",NA,NA,NA,NA,NA,NA,2.21,2.84,NA,4.22,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA
"Matt Bush",NA,NA,NA,NA,NA,NA,2.2,0,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ty Blach",NA,NA,NA,NA,NA,NA,2.2,0,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
