"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Rajai Davis","OF","","OAK","@TEX","R",1,4000,8.59,1.13,0,NA,9.47,8.88,8,8.4,8.8,6.28,10.1,8.77,0,-115,-0.24,9.5,0.94,"R. Davis"
"Yoenis Cespedes","OF","","NYM","MIA","R",3,4100,8.58,0.85,0,NA,9.55,7.63,9.6,NA,8.6,8.6,8.74,7.37,0,-166,-0.92,7,1.06,"Y. Cespedes"
"Miguel Cabrera","1B","","DET","BOS","R",3,4500,8.58,1.17,0,NA,11.14,7.73,8.7,NA,8.2,8.22,8.28,7.8,0,102,0.12,7.5,0.99,"M. Cabrera"
"Chris Carter","1B","","NYY","@BAL","R",4,4400,8.44,1.4,0,NA,9.7,8.05,10.3,NA,8.8,6,8.43,7.8,0,109,0.279999999999999,8.5,0.97,"C. Carter"
"Jose Ramirez","3B","OF","CLE","@ARI","S",5,3900,8.43,0.8,0,NA,10.06,8.23,8.9,7.8,8.6,7.48,7.96,8.42,0,-187,-1.6,9.5,0.96,"J. Ramirez"
"Matt Holliday","1B","OF","NYY","@BAL","R",3,4300,8.42,1.03,0,NA,9.16,8.16,10.1,NA,7.9,6.93,8.85,7.86,0,109,0.279999999999999,8.5,0.97,"M. Holliday"
"Carlos Gomez","OF","","TEX","OAK","R",1,3800,8.39,1.03,0,NA,10.48,8.22,7.3,NA,8.3,7.79,8.73,7.88,0,105,0.24,9.5,0.94,"C. Gomez"
"A.J. Pollock","OF","","ARI","CLE","R",1,3700,8.37,1.08,0,NA,8.37,8.1,9.5,NA,7.3,6.75,9.59,8.97,0,176,1.6,9.5,0.96,"A. Pollock"
"Anthony Rendon","2B","3B","WAS","@PHI","R",2,3800,8.36,0.65,0,NA,9.37,8.27,8.9,NA,8.4,7.3,8.13,8.12,0,-157,-0.859999999999999,7.5,1,"A. Rendon"
"Matt Holliday","1B","OF","NYY","@BAL","R",3,4300,8.35,1.09,0,NA,9.16,8.16,10.1,NA,7.9,6.93,8.85,7.37,0,109,0.279999999999999,8.5,0.97,"M. Holliday"
"Carlos Correa","SS","","HOU","KCR","R",4,4700,8.33,0.97,0,NA,9.82,8.57,6.7,8.46,8.9,8.14,8.75,7.3,0,-190,-1.48,8.5,1,"C. Correa"
"Ryan Braun","OF","","MIL","CHC","R",3,4600,8.33,0.84,0,NA,NA,8.1,8.4,NA,9.2,6.98,9.23,8.09,0,165,1.2,8,NA,"R. Braun"
"Buster Posey","1B","C","SFG","@SDP","R",4,4000,8.3,0.54,0,NA,9.38,8.05,8.5,NA,8.1,8.31,8.08,7.69,0,-155,-0.84,7.5,1.05,"B. Posey"
"Adam Eaton","OF","","WAS","@PHI","L",1,4000,8.3,0.93,0,NA,10.26,8.36,7.6,NA,7.8,7.56,8.27,8.28,0,-157,-0.859999999999999,7.5,1,"A. Eaton"
"Alex Bregman","3B","","HOU","KCR","R",2,3900,8.23,1.11,0,NA,10.07,8.06,9.1,7.8,8.8,6.41,8.15,7.47,0,-190,-1.48,8.5,1,"A. Bregman"
"Ben Zobrist","2B","OF","CHC","@MIL","S",4,4400,8.22,0.77,0,NA,9,8.93,8.9,NA,8.3,7.87,7.07,7.49,0,-175,-1.2,8,0.96,"B. Zobrist"
"Christian Yelich","OF","","MIA","@NYM","L",3,3500,8.22,1.11,0,NA,9.72,7.04,9.2,NA,8.5,6.64,8.52,7.94,0,156,0.92,7,1.06,"C. Yelich"
"Jose Bautista","OF","","TOR","@TBR","R",3,4100,8.21,1.1,0,NA,9.72,7.25,8.6,NA,9.5,7.31,8.02,7.04,0,-121,-0.300000000000001,8,1.04,"J. Bautista"
