"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Marcus Semien","3B","SS","OAK","LAA","R",5,3300,6.7,0.63,0,NA,7.59,6.72,6.4,6.9,5.69,6.91,0,101,0.120000000000001,8,1.03,"M. Semien",4,2.03030303030303,1.21212121212121
"Jorge Polanco","2B","3B","MIN","KCR","S",7,3300,6.68,0.77,0,NA,7.91,5.87,6.6,6.8,5.87,7.03,0,-105,-0.0999999999999996,8,0.99,"J. Polanco",12,2.02424242424242,3.63636363636364
"Trevor Plouffe","3B","","OAK","LAA","R",7,3400,6.66,0.79,0,NA,8.03,6.21,6.5,6.7,5.66,6.86,0,101,0.120000000000001,8,1.03,"T. Plouffe",5,1.95882352941176,1.47058823529412
"Cameron Rupp","C","","PHI","@CIN","R",7,3300,6.66,0.93,0,NA,7.88,6.81,6,7.1,5.23,6.97,0,105,0.199999999999999,8.5,0.98,"C. Rupp",0,2.01818181818182,0
"Nomar Mazara","OF","","TEX","CLE","L",7,3800,6.64,1.38,0,NA,7.57,6.16,8,5.3,4.88,7.95,0,105,0.18,7.5,0.94,"N. Mazara",10,1.74736842105263,2.63157894736842
"Josh Harrison","2B","","PIT","@BOS","R",8,3800,6.61,1.03,0,NA,7.92,7.12,NA,6.1,5.2,6.69,0,141,0.879999999999999,8.5,0.95,"J. Harrison",7,1.73947368421053,1.84210526315789
"Elvis Andrus","SS","","TEX","CLE","R",8,3900,6.59,1.18,0,NA,8.45,6.35,6.4,6.6,4.77,6.98,0,105,0.18,7.5,0.94,"E. Andrus",13,1.68974358974359,3.33333333333333
"Matt Wieters","C","","WAS","MIA","S",8,3200,6.56,0.64,0,NA,7.5,6.6,NA,6.7,5.81,6.17,0,-197,-1.46,8,1,"M. Wieters",5,2.05,1.5625
"Joe Mauer","1B","","MIN","KCR","L",4,3600,6.54,1.03,0,NA,8.4,6.28,6.8,6.5,5.49,5.75,0,-105,-0.0999999999999996,8,0.99,"J. Mauer",6,1.81666666666667,1.66666666666667
"Lucas Duda","1B","","NYM","ATL","L",7,3400,6.48,0.91,0,NA,7.63,6.57,NA,5.4,5.77,7.01,0,-176,-1.06,7,1.06,"L. Duda",13,1.90588235294118,3.82352941176471
"Max Kepler","OF","","MIN","KCR","L",8,3700,6.43,1.18,0,NA,8.38,5.82,6.2,6.9,4.86,6.43,0,-105,-0.0999999999999996,8,0.99,"M. Kepler",5,1.73783783783784,1.35135135135135
"Hyun-Soo Kim","1B","OF","BAL","TOR","L",7,3400,6.4,0.73,0,NA,7.7,6.83,5.8,6.1,6.05,5.9,0,-133,-0.56,8.5,0.97,"H. Kim",0,1.88235294117647,0
"Josh Bell","OF","","PIT","@BOS","S",7,3400,6.38,0.94,0,NA,6.98,7.34,NA,6.1,4.91,6.58,0,141,0.879999999999999,8.5,0.95,"J. Bell",5,1.87647058823529,1.47058823529412
"Norichika Aoki","OF","","HOU","SEA","L",9,3400,6.35,1.04,0,NA,7.97,6.65,6.3,6.1,4.72,6.37,0,-144,-0.76,8.5,1,"N. Aoki",3,1.86764705882353,0.882352941176471
"Marcell Ozuna","OF","","MIA","@WAS","R",6,3600,6.34,0.71,0,NA,6.9,6.7,NA,6.6,5.11,6.38,0,183,1.46,8,1,"M. Ozuna",5,1.76111111111111,1.38888888888889
"Alcides Escobar","SS","","KCR","@MIN","R",8,3200,6.33,0.66,0,NA,7.55,6.09,6.5,6.2,5.73,5.89,0,-105,0.0999999999999996,8,0.99,"A. Escobar",0,1.978125,0
"Welington Castillo","C","","BAL","TOR","R",6,3700,6.32,1.04,0,NA,8.07,6.63,5,6,5.71,6.53,0,-133,-0.56,8.5,0.97,"W. Castillo",8,1.70810810810811,2.16216216216216
"Leonys Martin","OF","","SEA","@HOU","L",7,3200,6.32,0.86,0,NA,7.5,6,6.3,6.8,4.91,6.42,0,134,0.76,8.5,1,"L. Martin",0,1.975,0
"Kevin Pillar","OF","","TOR","@BAL","R",8,3800,6.31,0.59,0,NA,7.16,6.43,6.4,6.3,5.31,6.25,0,123,0.559999999999999,8.5,0.97,"K. Pillar",7,1.66052631578947,1.84210526315789
"Mike Zunino","C","","SEA","@HOU","R",8,2900,6.31,1.17,0,NA,7.59,6.05,7.1,6.5,4.19,6.43,0,134,0.76,8.5,1,"M. Zunino",0,2.17586206896552,0
"Sandy Leon","C","","BOS","PIT","S",9,2900,6.3,0.75,0,NA,7.28,6.22,NA,6.8,5.81,5.4,0,-151,-0.880000000000001,8.5,0.95,"S. Leon",8,2.17241379310345,2.75862068965517
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Freese","1B","3B","PIT","@BOS","R",5,3300,6.29,0.87,0,NA,6.49,7.02,NA,6.7,4.78,6.44,0,141,0.879999999999999,8.5,0.95,"D. Freese",8,1.90606060606061,2.42424242424242
"Brandon Phillips","2B","","ATL","@NYM","R",6,3100,6.28,1.46,0,NA,8.34,5.95,NA,6.8,4.34,5.95,0,166,1.06,7,1.06,"B. Phillips",3,2.0258064516129,0.967741935483871
"C.J. Cron","1B","","LAA","@OAK","R",5,3400,6.24,3.27,0,NA,9.67,7.42,0.2,6.5,5.61,8.04,0,-111,-0.119999999999999,8,1.03,"C. Cron",5,1.83529411764706,1.47058823529412
"Danny Espinosa","2B","SS","LAA","@OAK","S",6,2800,6.24,0.59,0,NA,6.83,6.33,6.7,6.3,5.16,6.14,0,-111,-0.119999999999999,8,1.03,"D. Espinosa",0,2.22857142857143,0
"Yulieski Gurriel","3B","","HOU","SEA","R",7,3200,6.17,0.79,0,NA,NA,7.24,5.9,6.1,5.11,6.52,0,-144,-0.76,8.5,NA,"Y. Gurriel",0,1.928125,0
"Pablo Sandoval","3B","","BOS","PIT","S",8,3700,6.15,0.68,0,NA,NA,7.1,NA,5.5,5.96,6.05,0,-151,-0.880000000000001,8.5,NA,"P. Sandoval",7,1.66216216216216,1.89189189189189
"Avisail Garcia","OF","","CHW","DET","R",7,3300,6.15,1.04,0,NA,7.66,6.05,5.9,6.8,4.55,5.94,0,114,0.32,7,0.98,"A. Garcia",NA,1.86363636363636,NA
"Eddie Rosario","OF","","MIN","KCR","L",9,3400,6.15,1.44,0,NA,8.41,5.53,NA,6,4.5,6.3,0,-105,-0.0999999999999996,8,0.99,"E. Rosario",3,1.80882352941176,0.882352941176471
"Nick Markakis","OF","","ATL","@NYM","L",5,3200,6.15,1.37,0,NA,8,5.77,NA,6.9,4.35,5.72,0,166,1.06,7,1.06,"N. Markakis",0,1.921875,0
"Andrelton Simmons","SS","","LAA","@OAK","R",8,2900,6.1,1.05,0,NA,7.44,6.52,5.6,6.6,4.35,6.12,0,-111,-0.119999999999999,8,1.03,"A. Simmons",5,2.10344827586207,1.72413793103448
"Derek Dietrich","2B","3B","MIA","@WAS","L",7,3100,6.07,0.9,0,NA,6.35,5.99,NA,7.1,4.64,6.28,0,183,1.46,8,1,"D. Dietrich",0,1.95806451612903,0
"Tony Wolters","C","","COL","@MIL","L",8,2900,6.06,0.87,0,NA,7.08,6.05,NA,6.5,4.72,5.95,0,-125,-0.380000000000001,8,0.96,"T. Wolters",10,2.08965517241379,3.44827586206897
"Orlando Arcia","SS","","MIL","COL","R",8,3400,6.05,1.07,0,NA,7.25,5.57,NA,6.1,4.52,6.81,0,115,0.379999999999999,8,0.96,"O. Arcia",7,1.77941176470588,2.05882352941176
"Adonis Garcia","3B","OF","ATL","@NYM","R",7,3000,6.05,1.59,0,NA,8.08,5.52,NA,7.1,3.94,5.6,0,166,1.06,7,1.06,"A. Garcia",0,2.01666666666667,0
"Dansby Swanson","SS","","ATL","@NYM","R",2,3000,6.03,0.74,0,NA,6.71,6.04,NA,5.8,4.91,6.7,0,166,1.06,7,1.06,"D. Swanson",3,2.01,1
"Yonder Alonso","1B","","OAK","LAA","L",8,2800,6.01,0.68,0,NA,7.26,5.84,5.3,5.8,5.66,6.21,0,101,0.120000000000001,8,1.03,"Y. Alonso",7,2.14642857142857,2.5
"James McCann","C","","DET","@CHW","R",7,2700,5.97,0.73,0,NA,6.78,5.76,5.4,5.4,5.48,7,0,-124,-0.32,7,0.98,"J. McCann",NA,2.21111111111111,NA
"Mikie Mahtook","OF","","DET","@CHW","R",6,2600,5.95,1.26,0,NA,6.07,6.39,7.5,5,3.99,6.72,0,-124,-0.32,7,0.98,"M. Mahtook",NA,2.28846153846154,NA
"Tucker Barnhart","C","","CIN","PHI","S",8,2700,5.89,0.87,0,NA,7.43,5.7,5.6,6,4.75,5.89,0,-115,-0.199999999999999,8.5,0.98,"T. Barnhart",5,2.18148148148148,1.85185185185185
"Cody Asche","OF","","CHW","DET","L",6,0,5.89,1.09,0,NA,NA,6.05,NA,6.9,4.73,NA,0,114,0.32,7,NA,"C. Asche",NA,Inf,NA
"Yangervis Solarte","2B","3B","SDP","@LAD","S",3,3100,5.88,1.43,0,NA,7.48,5.01,6.8,7.1,3.98,4.88,0,304,2.34,6.5,1.04,"Y. Solarte",5,1.89677419354839,1.61290322580645
"Ezequiel Carrera","OF","","TOR","@BAL","L",9,3200,5.8,0.97,0,NA,6.5,6.11,4.9,6.8,4.33,6.13,0,123,0.559999999999999,8.5,0.97,"E. Carrera",10,1.8125,3.125
"Jordy Mercer","SS","","PIT","@BOS","R",9,3300,5.74,0.88,0,NA,6.4,6.19,NA,6.4,4.39,5.31,0,141,0.879999999999999,8.5,0.95,"J. Mercer",5,1.73939393939394,1.51515151515152
"Ryan Schimpf","2B","3B","SDP","@LAD","L",5,3200,5.73,1.93,0,NA,8.21,4.32,7.1,6.8,3.19,4.76,0,304,2.34,6.5,1.04,"R. Schimpf",17,1.790625,5.3125
"Raul Mondesi","2B","SS","KCR","@MIN","S",9,2400,5.72,0.7,0,NA,6.31,6.37,NA,4.8,5.16,5.95,0,-105,0.0999999999999996,8,0.99,"R. Mondesi",0,2.38333333333333,0
"Manuel Margot","OF","","SDP","@LAD","R",1,3100,5.72,0.64,0,NA,5.31,5.85,6.1,6.5,4.67,5.88,0,304,2.34,6.5,1.04,"M. Margot",7,1.84516129032258,2.25806451612903
"Jed Lowrie","2B","","OAK","LAA","S",9,2700,5.71,0.47,0,NA,6.42,5.39,5.4,6.2,5.44,5.43,0,101,0.120000000000001,8,1.03,"J. Lowrie",8,2.11481481481481,2.96296296296296
"Francisco Cervelli","C","","PIT","@BOS","R",6,3300,5.67,0.94,0,NA,4.42,6.72,NA,6.1,4.96,6.13,0,141,0.879999999999999,8.5,0.95,"F. Cervelli",9,1.71818181818182,2.72727272727273
"Jose Iglesias","3B","SS","DET","@CHW","R",9,2500,5.62,0.72,0,NA,6.27,5.9,4.4,6.2,5.14,5.83,0,-124,-0.32,7,0.98,"J. Iglesias",NA,2.248,NA
"Jett Bandy","C","","MIL","COL","R",7,2700,5.6,0.91,0,NA,6.61,5.55,NA,4.9,4.52,6.41,0,115,0.379999999999999,8,0.96,"J. Bandy",5,2.07407407407407,1.85185185185185
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JaCoby Jones","3B","SS","DET","@CHW","R",8,2700,5.59,0.97,0,NA,3.87,6.03,6.2,5.1,6.55,5.81,0,-124,-0.32,7,0.98,"J. Jones",NA,2.07037037037037,NA
"Yan Gomes","C","","CLE","@TEX","R",6,3200,5.58,0.97,0,NA,6.32,5.98,5.8,4.9,3.96,6.53,0,-115,-0.18,7.5,0.94,"Y. Gomes",0,1.74375,0
"Hunter Renfroe","OF","","SDP","@LAD","R",4,3000,5.54,1.14,0,NA,6.84,5.49,6,6.3,3.61,5.02,0,304,2.34,6.5,1.04,"H. Renfroe",0,1.84666666666667,0
"Tyler Flowers","C","","ATL","@NYM","R",8,2600,5.37,1.39,0,NA,7.27,4.8,NA,6.1,3.59,5.11,0,166,1.06,7,1.06,"T. Flowers",3,2.06538461538462,1.15384615384615
"Martin Maldonado","C","","LAA","@OAK","R",9,2200,5.3,0.94,0,NA,6.78,5.74,5.1,5.1,3.89,5.21,0,-111,-0.119999999999999,8,1.03,"M. Maldonado",0,2.40909090909091,0
"Jason Castro","C","","MIN","KCR","L",6,2800,5.28,0.92,0,NA,6.17,5.43,5.5,6,3.61,4.97,0,-105,-0.0999999999999996,8,0.99,"J. Castro",12,1.88571428571429,4.28571428571429
"J.J. Hardy","SS","","BAL","TOR","R",9,3100,5.25,1.12,0,NA,6.87,5.59,3.4,5.5,5.04,5.08,0,-133,-0.56,8.5,0.97,"J. Hardy",0,1.69354838709677,0
"Delino DeShields","OF","","TEX","CLE","R",1,3600,5.15,2.81,0,NA,4.37,7.5,0,7,5.04,6.98,0,105,0.18,7.5,0.94,"D. DeShields",NA,1.43055555555556,NA
"Jacob May","OF","","CHW","DET","S",9,NA,4.97,0.67,0,NA,NA,5.41,NA,5.3,4.19,NA,0,114,0.32,7,NA,"J. May",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Omar Narvaez","C","","CHW","DET","L",8,2500,4.82,0.52,0,NA,4.75,5.05,NA,5.6,4.29,4.43,0,114,0.32,7,0.98,"O. Narvaez",NA,1.928,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Jankowski","OF","","SDP","@LAD","L",9,2700,4.75,1.31,0,NA,7.32,4.28,3.8,4.9,4.11,4.09,0,304,2.34,6.5,1.04,"T. Jankowski",5,1.75925925925926,1.85185185185185
"Adeiny Hechavarria","3B","SS","MIA","@WAS","R",8,2600,4.69,0.59,0,NA,5.01,5.39,NA,4.4,3.84,4.8,0,183,1.46,8,1,"A. Hechavarria",0,1.80384615384615,0
"Rene Rivera","C","","NYM","ATL","R",8,2200,4.66,0.67,0,NA,5.62,5.09,NA,4.1,4.15,4.35,0,-176,-1.06,7,1.06,"R. Rivera",3,2.11818181818182,1.36363636363636
"Jurickson Profar","2B","3B","TEX","CLE","S",NA,3400,4.59,2.16,0,NA,4.53,NA,7.4,NA,4.3,2.15,0,105,0.18,7.5,0.94,NA,0,1.35,0
"Joey Gallo","3B","OF","TEX","CLE","L",9,3700,4.54,2.77,0,NA,3.67,5.85,0,4.4,4.91,8.43,0,105,0.18,7.5,0.94,"J. Gallo",7,1.22702702702703,1.89189189189189
"Erick Aybar","SS","","SDP","@LAD","S",7,0,4.49,1.39,0,NA,NA,4.22,NA,6,3.25,NA,0,304,2.34,6.5,NA,"E. Aybar",0,Inf,NA
"Giovanny Urshela","3B","","CLE","@TEX","R",9,3100,4.37,1.59,0,NA,2.47,5.42,5.9,NA,3.67,NA,0,-115,-0.18,7.5,0.94,NA,NA,1.40967741935484,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abraham Almonte","OF","","CLE","@TEX","S",8,3500,4.27,2.63,0,NA,5.82,6.35,0.2,6.6,4.74,1.9,0,-115,-0.18,7.5,0.94,"A. Almonte",18,1.22,5.14285714285714
"Austin Hedges","C","","SDP","@LAD","R",6,2400,4.13,0.76,0,NA,3.02,4.62,5,4.2,3.43,4.53,0,304,2.34,6.5,1.04,"A. Hedges",0,1.72083333333333,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ben Revere","OF","","LAA","@OAK","L",7,3000,3.89,2.71,0,NA,5.14,6.74,0.1,NA,5.37,2.1,0,-111,-0.119999999999999,8,1.03,NA,0,1.29666666666667,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian Beltre","3B","","TEX","CLE","R",NA,4200,2.77,2.86,0,NA,NA,NA,0,NA,5.72,2.59,0,105,0.18,7.5,NA,NA,NA,0.65952380952381,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonnie Chisenhall","3B","OF","CLE","@TEX","L",NA,3500,2.44,2.66,0,NA,NA,NA,0,NA,5.28,2.05,0,-115,-0.18,7.5,NA,NA,NA,0.697142857142857,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
