"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Giancarlo Stanton","OF","","MIA","@WAS","R",4,4600,7.93,1.19,0,NA,9.67,8.23,NA,7.8,6.37,7.58,0,183,1.46,8,1,"G. Stanton",9,1.72391304347826,1.95652173913044
"Robinson Cano","2B","","SEA","@HOU","L",3,4400,7.93,1.47,0,NA,9.85,7.22,7.1,9.6,6.19,7.63,0,134,0.76,8.5,1,"R. Cano",3,1.80227272727273,0.681818181818182
"Carlos Beltran","OF","","HOU","SEA","S",5,3700,7.89,1.46,0,NA,8.9,7.68,6.7,10.1,6.08,7.91,0,-144,-0.76,8.5,1,"C. Beltran",0,2.13243243243243,0
"Seth Smith","OF","","BAL","TOR","L",1,3500,7.84,0.5,0,NA,8.01,8.21,7.9,8.3,6.91,7.71,0,-133,-0.56,8.5,0.97,"S. Smith",7,2.24,2
"Victor Martinez","1B","","DET","@CHW","S",4,3500,7.83,0.75,0,NA,8.94,6.88,7.9,8.3,7.83,7.14,0,-124,-0.32,7,0.98,"V. Martinez",NA,2.23714285714286,NA
"Dee Gordon","2B","","MIA","@WAS","L",1,4200,7.79,1.31,0,NA,9.43,8.11,NA,7.7,5.79,7.93,0,183,1.46,8,1,"D. Gordon",0,1.8547619047619,0
"Jackie Bradley","OF","","BOS","PIT","L",7,4200,7.78,0.72,0,NA,8.56,7.51,NA,8.5,6.91,7.4,0,-151,-0.880000000000001,8.5,0.95,"J. Bradley",12,1.85238095238095,2.85714285714286
"Miguel Sano","3B","OF","MIN","KCR","R",5,4000,7.75,1.07,0,NA,9.34,7.7,8.1,7.1,6.16,8.08,0,-105,-0.0999999999999996,8,0.99,"M. Sano",20,1.9375,5
"Alex Bregman","3B","","HOU","SEA","R",2,3800,7.72,1.28,0,NA,9.44,8.4,7,7.6,5.72,8.16,0,-144,-0.76,8.5,1,"A. Bregman",12,2.03157894736842,3.15789473684211
"Rajai Davis","OF","","OAK","LAA","R",1,3600,7.71,0.76,0,NA,7.96,8.18,7.9,7.2,6.46,8.57,0,101,0.120000000000001,8,1.03,"R. Davis",0,2.14166666666667,0
